Transformation,DUR Scale,SJIT Scale,DJIT Scale,RF TPR,RF TPR Degradation,RF Evasion Rate,RF AUROC,RF AUPRC,MLP TPR,MLP TPR Degradation,MLP Evasion Rate,MLP AUROC,MLP AUPRC
ALL CLEAN,1.0,1.0,1.0,0.030687963671491566,0.030687963671491566,0.030687963671491566,0.004852775439159384,0.0036449532288236803,0.018097566547277174,0.01809756654727717,0.018097566547277188,0.008740038499605944,0.0036770808998890787
DUR +5% + SJIT +5% + DJIT +5%,1.05,1.05,1.05,0.030508787236411292,0.030508787236411292,0.030508787236411292,0.00491867681911095,0.0038473375862836333,0.018144976475111752,0.01814497647511175,0.01814497647511173,0.008706783245479044,0.0036506322477349684
DUR +5% + SJIT -5% + DJIT -5%,1.05,0.95,0.95,0.030469971732856524,0.03046997173285652,0.030469971732856517,0.0050045855018885765,0.003801468753703632,0.01808516211681533,0.018085162116815334,0.018085162116815285,0.008829768903307486,0.0037643970003881345
DUR -5% + SJIT +5% + DJIT +5%,0.95,1.05,1.05,0.030618571443819464,0.030618571443819433,0.030618571443819433,0.004839379053708788,0.0036513083233541636,0.01816309224080424,0.018163092240804233,0.018163092240804184,0.008658049664712692,0.0035925515591984387
DUR -5% + SJIT -5% + DJIT -5%,0.95,0.95,0.95,0.03049838595302351,0.030498385953023514,0.030498385953023514,0.005003330949788158,0.0037050588377446855,0.01813488993078991,0.01813488993078992,0.018134889930789905,0.008775422064503578,0.0037016830901160963
