Model,dTTL_%,TPR,AUROC,AUPRC,TPR_degradation
Standard MLP,-15,0.38370981499455864,0.6460431408753675,0.7333792893900605,0.03794964557781109
Standard MLP,-10,0.3948572016824024,0.6509602909624528,0.7377172383374595,0.026802258889967328
Standard MLP,-5,0.40717374040412957,0.6553741844950925,0.7419422845791331,0.014485720168240216
Standard MLP,-2,0.4159607635518692,0.6590248098513231,0.7451938685498852,0.005698697020500576
Standard MLP,0,0.42165946057236975,0.6605975577183112,0.7469007231262434,0.0
