dTTL_%,Standard_TPR,Standard_FPR,Standard_AUROC,Standard_AUPRC,Augmented_TPR,Augmented_FPR,Augmented_AUROC,Augmented_AUPRC,SCARF_TPR,SCARF_FPR,SCARF_AUROC,SCARF_AUPRC,Standard_TPR_Drop,Augmented_TPR_Drop,SCARF_TPR_Drop
-15,0.39314391599752935,0.23189189189189188,0.6377406226375497,0.7321178483792821,0.430005294273361,0.2626216216216216,0.5636999148623608,0.719868322876366,0.4030706785493691,0.16508108108108108,0.7593471818129786,0.7983793672083811,-0.035515750463248896,-0.0016765198976440576,-0.039376158122297666
-10,0.40412953322156536,0.23910810810810812,0.6424237308648982,0.7364824225266506,0.4307111973881585,0.26235135135135135,0.563887258508398,0.7201495154750901,0.4145416041648284,0.18191891891891893,0.7615155578900175,0.8011950763467238,-0.02453013323921288,-0.0009706167828465451,-0.027905232506838407
-5,0.4151813288626136,0.2462972972972973,0.6462833253044804,0.7404964376737782,0.43130680314126885,0.2620810810810811,0.5639461096033827,0.7203821352730571,0.4278434659842937,0.1986216216216216,0.7634674241213772,0.8039842046157135,-0.013478337598164636,-0.00037501102973619416,-0.014603370687373107
-2,0.4234977499338216,0.25151351351351353,0.6497266139783126,0.74358982331578,0.43159357628165534,0.2618918918918919,0.5641098075817811,0.7205522173925835,0.438321715344569,0.20994594594594596,0.7646102827547392,0.8058522569337585,-0.005161916526956634,-8.823788934969601e-05,-0.004125121327097803
0,0.42865966646077824,0.2550810810810811,0.6508620958048845,0.7450754663181771,0.43168181417100504,0.2617837837837838,0.5640945120206239,0.7206223232053546,0.4424468366716668,0.2172972972972973,0.7648173967557074,0.8066087024016462,0.0,0.0,0.0
2,0.43221124150710316,0.25697297297297295,0.6519697585501323,0.7462737506182865,0.43177005206035474,0.2616486486486487,0.5640726794031303,0.7206668014340653,0.44765287214329835,0.2217027027027027,0.7654237359326148,0.8074781274462824,0.0035515750463249174,8.823788934969601e-05,0.005206035471631565
5,0.43223330097944057,0.25697297297297295,0.6519744706322841,0.7462806741763933,0.43177005206035474,0.2616486486486487,0.564072336885107,0.7206660328324728,0.44767493161563576,0.2217027027027027,0.7654356891856119,0.8074918931561108,0.0035736345186623275,8.823788934969601e-05,0.005228094943968975
10,0.43223330097944057,0.25697297297297295,0.6507856889471313,0.7458295790395422,0.43177005206035474,0.2616486486486487,0.5638749657183876,0.7205985982828906,0.44767493161563576,0.2217027027027027,0.7654315589965682,0.8075024222995895,0.0035736345186623275,8.823788934969601e-05,0.005228094943968975
15,0.432255360451778,0.25697297297297295,0.650190863324279,0.7456075667822661,0.43177005206035474,0.2616486486486487,0.5637764141314172,0.7205647137093429,0.44767493161563576,0.2217027027027027,0.7654371892297309,0.8075172112428675,0.0035956939909997376,8.823788934969601e-05,0.005228094943968975
