Seed,dTTL (%),TPR,TPR Drop,AUROC,AUPRC
42,-15,0.4030706785493691,-0.039376158122297666,0.7593471818129786,0.7983793672083811
42,-10,0.4145416041648284,-0.027905232506838407,0.7615155578900175,0.8011950763467238
42,-5,0.4278434659842937,-0.014603370687373107,0.7634674241213772,0.8039842046157135
42,-2,0.438321715344569,-0.004125121327097803,0.7646102827547392,0.8058522569337585
42,0,0.4424468366716668,0.0,0.7648173967557074,0.8066087024016462
42,2,0.44765287214329835,0.005206035471631565,0.7654237359326148,0.8074781274462824
42,5,0.44767493161563576,0.005228094943968975,0.7654356891856119,0.8074918931561108
42,10,0.44767493161563576,0.005228094943968975,0.7654315589965682,0.8075024222995895
42,15,0.44767493161563576,0.005228094943968975,0.7654371892297309,0.8075172112428675
123,-15,0.38981293567457864,-0.04281743580693553,0.7695501435654307,0.8005279932315259
123,-10,0.4024530133239213,-0.03017735815759287,0.7725155748817731,0.8038029199150797
123,-5,0.4155783993646872,-0.017051972116826963,0.7754696109901484,0.8070338051929743
123,-2,0.42632136239301155,-0.006309009088502626,0.777658926276051,0.809411189543145
123,0,0.4326303714815142,0.0,0.7786626459800488,0.8105865960719143
123,2,0.43759375275743406,0.004963381275919887,0.7796846324176467,0.8116835012899936
123,5,0.43759375275743406,0.004963381275919887,0.7796937939549892,0.8116904711845698
123,10,0.4376158122297715,0.004985440748257297,0.779695546788737,0.8116955282683541
123,15,0.4376158122297715,0.004985440748257297,0.7797058607844587,0.8117056546713761
2026,-15,0.4075266919615283,-0.027044913085678968,0.7665647520038348,0.7978304400242429
2026,-10,0.41672549192623315,-0.017846113120974116,0.7685033199505868,0.7998196179316565
2026,-5,0.4254169240271773,-0.009154681020029976,0.7698180865613695,0.8014322957603256
2026,-2,0.43146121944763083,-0.0031103855995764373,0.7703130137770348,0.802354547754765
2026,0,0.43457160504720727,0.0,0.7703499818754607,0.8027507788784921
2026,2,0.43679961175328685,0.0022280067060795883,0.7704137110948415,0.8030982400432681
2026,5,0.43679961175328685,0.0022280067060795883,0.770418121498804,0.8031025867630915
2026,10,0.43679961175328685,0.0022280067060795883,0.7704134410153558,0.8031037313420881
2026,15,0.43686579017029914,0.002294185123091874,0.7704148602741099,0.8031079382401818
