Augmentation,TPR_mean,TPR_SD,FPR_mean,FPR_SD,AUROC_mean,AUROC_SD,AUPRC_mean,AUPRC_SD
0% (Standard MLP),0.42165946057236975,0.018097566547277174,0.2832882882882883,0.030905855458656387,0.6605975577183112,0.008740038499605944,0.7469007231262434,0.0036770808998890787
±2%,0.4320862378305244,0.0111897275924984,0.2642972972972973,0.025681891139584672,0.64719582521505,0.004778323528441458,0.7458358786006354,0.0012750682148201422
±5%,0.4271228565546045,0.006700501932890242,0.2607207207207207,0.012795244657818053,0.6494790848379483,0.014107311829828566,0.746923175991088,0.00395779588040825
±10%,0.4308214947498456,0.007341430838787129,0.2648378378378378,0.022195903780452768,0.6445077279697415,0.013561945258368326,0.7466242086540559,0.004862034465778833
±15%,0.43165240154122175,0.010004167300738477,0.2616126126126126,0.015565135257933366,0.629256369026752,0.008393790583667664,0.7391064565853297,0.006084943392063219
