TTL Feature,Perturbation (%),RF TPR Mean,RF TPR Drop Mean,RF Evasion Rate Mean,RF AUROC Mean,RF AUPRC Mean,MLP TPR Mean,MLP TPR Drop Mean,MLP Evasion Rate Mean,MLP AUROC Mean,MLP AUPRC Mean,RF TPR SD,RF TPR Drop SD,RF Evasion Rate SD,RF AUROC SD,RF AUPRC SD,MLP TPR SD,MLP TPR Drop SD,MLP Evasion Rate SD,MLP AUROC SD,MLP AUPRC SD
dttl,-15,0.6951954469249095,0.0,0.3048045530750904,0.8090563302338781,0.8221748834033054,0.6183225977234624,-0.04823965410747377,0.3816774022765375,0.8477625695469581,0.8796766276010258,0.02902348688087632,0.0,0.029023486880876324,0.009121883522349602,0.007259467946515848,0.1417259771019461,0.007172830020044855,0.1417259771019461,0.06562756711343239,0.05656113858335104
dttl,-10,0.6951954469249095,0.0,0.3048045530750904,0.8090563302338781,0.8221748834033054,0.6358554663372452,-0.030706785493691,0.3641445336627548,0.848703169349973,0.8802629895815997,0.02902348688087632,0.0,0.029023486880876324,0.009121883522349602,0.007259467946515848,0.14392272747218843,0.005295192425888912,0.14392272747218843,0.06496874112204577,0.05571348242757916
dttl,-5,0.6951954469249095,0.0,0.3048045530750904,0.8090562833127842,0.8221748593457084,0.6509662048883791,-0.01559604694255714,0.3490337951116209,0.8491516600051036,0.8804704991666077,0.02902348688087632,0.0,0.029023486880876324,0.009121902757301242,0.0072594798269095245,0.14562302114480513,0.0034328536649162493,0.1456230211448052,0.06420059613276477,0.05472647661681396
dttl,-2,0.6951954469249095,0.0,0.3048045530750904,0.8090562486138305,0.8221748426625697,0.6616076943439513,-0.004954557486984934,0.3383923056560487,0.8492354143365107,0.8804354343785474,0.02902348688087632,0.0,0.029023486880876324,0.009121915256426907,0.007259486781105129,0.14604775911451143,0.0022426250224425403,0.14604775911451143,0.06355705457127063,0.053944905129417874
dttl,0,0.6951954469249095,0.0,0.3048045530750904,0.809056040479728,0.8221747156292688,0.6665622518309362,0.0,0.3334377481690638,0.8486814783304439,0.87988398023635,0.02902348688087632,0.0,0.029023486880876324,0.009121922429745594,0.007259450640392456,0.14669937760601753,0.0,0.14669937760601756,0.06324705208814567,0.053511684444639045
dttl,2,0.6949483808347304,-0.00024706609017912664,0.30505161916526957,0.8090151077575414,0.8221719672422673,0.6728977322862437,0.006335480455307496,0.32710226771375633,0.8490674491022391,0.8802315182375512,0.02905021284318618,0.0002423531980406661,0.02905021284318618,0.009125347421988814,0.007273701807310877,0.14691492267197717,0.0007013038979125812,0.14691492267197714,0.06295587877432021,0.053144068164310033
dttl,5,0.6949483808347304,-0.00024706609017912664,0.30505161916526957,0.8090151077575414,0.8221719672422673,0.6728977322862437,0.006335480455307496,0.32710226771375633,0.8490702671700202,0.8802343870436269,0.02905021284318618,0.0002423531980406661,0.02905021284318618,0.009125347421988814,0.007273701807310877,0.14691492267197717,0.0007013038979125812,0.14691492267197714,0.06295509955757268,0.05314270578024892
dttl,10,0.6949483808347304,-0.00024706609017912664,0.30505161916526957,0.8090151077575414,0.8221719672422673,0.6728977322862437,0.006335480455307496,0.32710226771375633,0.8490363556797776,0.8802233429181807,0.02905021284318618,0.0002423531980406661,0.02905021284318618,0.009125347421988814,0.007273701807310877,0.14691492267197717,0.0007013038979125812,0.14691492267197714,0.06302504553636154,0.053168684252465785
dttl,15,0.6949483808347304,-0.00024706609017912664,0.30505161916526957,0.8090151077575414,0.8221719672422673,0.6729065560751787,0.00634430424424246,0.3270934439248213,0.8490203342427399,0.8802192146022968,0.02905021284318618,0.0002423531980406661,0.02905021284318618,0.009125347421988814,0.007273701807310877,0.14691062329648868,0.0006927868513649248,0.1469106232964887,0.06306158746495409,0.053181766453975175
sttl,-15,0.670131474455131,-0.02506397246977854,0.32986852554486895,0.8070035739922398,0.8163514579992516,0.5819553516279891,-0.08460690020294717,0.41804464837201094,0.8296859274875334,0.8619697433066346,0.015181081404731582,0.01436140604540151,0.015181081404731598,0.008359389490377133,0.00594596789622013,0.13164659268481851,0.080474844148941,0.13164659268481854,0.06110424745536206,0.052167800272877485
sttl,-10,0.670131474455131,-0.02506397246977854,0.32986852554486895,0.8070035739922398,0.8163514579992516,0.6097855819288803,-0.05677666990205595,0.39021441807111973,0.8364776556027482,0.868399481632172,0.015181081404731582,0.01436140604540151,0.015181081404731598,0.008359389490377133,0.00594596789622013,0.13180890289663771,0.05452283952556201,0.1318089028966377,0.06184727708482154,0.05256844416965048
sttl,-5,0.670131474455131,-0.02506397246977854,0.32986852554486895,0.8070035739922398,0.8163514579992516,0.6375849289684992,-0.02897732286243714,0.36241507103150095,0.842584480386148,0.8741354945745918,0.015181081404731582,0.01436140604540151,0.015181081404731598,0.008359389490377133,0.00594596789622013,0.13683223968905245,0.027791326611504994,0.13683223968905248,0.06253558781765689,0.05299107943902534
sttl,-2,0.670131474455131,-0.02506397246977854,0.32986852554486895,0.8070044259052134,0.8163547373640808,0.6560178240536486,-0.01054442777728758,0.3439821759463514,0.8464146731859363,0.8777427981699623,0.015181081404731582,0.01436140604540151,0.015181081404731598,0.008359603297270335,0.005946469209874388,0.14275452621913837,0.009851116717782112,0.14275452621913837,0.06298427836666262,0.053307769456696685
sttl,0,0.6951954469249095,0.0,0.3048045530750904,0.809056040479728,0.8221747156292688,0.6665622518309362,0.0,0.3334377481690638,0.8486814783304439,0.87988398023635,0.02902348688087632,0.0,0.029023486880876324,0.009121922429745594,0.007259450640392456,0.14669937760601753,0.0,0.14669937760601756,0.06324705208814567,0.053511684444639045
sttl,2,0.6926100767669637,-0.002585370157945821,0.30738992323303627,0.8088140902196648,0.821627461637083,0.6686181946527838,0.0020559428218476896,0.33138180534721606,0.8490850088595611,0.8802745806665593,0.025660650262024007,0.0038884599253302897,0.025660650262024,0.00899103511012538,0.007206186950946293,0.14741293712946182,0.0015795568061030786,0.14741293712946188,0.06330641353688349,0.05355751157436955
sttl,5,0.6926100767669637,-0.002585370157945821,0.30738992323303627,0.8087784409199635,0.8216087866098943,0.6687858466425484,0.002223594811612095,0.3312141533574517,0.8490021615898083,0.8802129590867767,0.025660650262024007,0.0038884599253302897,0.025660650262024,0.008991636770203941,0.007207336058418844,0.1474225546461606,0.0015281181003608654,0.14742255464616058,0.06331702105236488,0.0535658421812488
sttl,10,0.6926100767669637,-0.002585370157945821,0.30738992323303627,0.8087791387147316,0.8216091934467802,0.6690637959939998,0.0025015441630636182,0.33093620400600016,0.8488772525106064,0.8801166706247676,0.025660650262024007,0.0038884599253302897,0.025660650262024,0.008991194966298898,0.007207019002718918,0.14754850714456796,0.0014989569715764745,0.14754850714456796,0.06332483321496876,0.05357572686761815
sttl,15,0.6926100767669637,-0.002585370157945821,0.30738992323303627,0.8087791595221798,0.8216092043761455,0.6692579193505692,0.002695667519632905,0.3307420806494309,0.8487372235709636,0.8800101771598307,0.025660650262024007,0.0038884599253302897,0.025660650262024,0.008991176714621133,0.007207010845996216,0.14754139673696898,0.0013938025831255313,0.14754139673696898,0.06334898819558427,0.053592410901088273
