Seed,dTTL_%,TPR,AUROC,AUPRC
42,-15,0.433667166681373,0.5994170122650666,0.7242547017151897
42,-10,0.4356304597194035,0.600373792989142,0.7254770805816746
42,-5,0.43748345539574696,0.6013199324026224,0.7266771533469124
42,-2,0.43874084531897994,0.601879986335051,0.727394448213005
42,0,0.43953498632312715,0.6022492791918362,0.7278575073399767
42,2,0.4402850083825995,0.6026152494151259,0.7283192133878534
42,5,0.4411453278037589,0.6031577779910856,0.7290007758016652
42,10,0.44266743139504106,0.6040420969257443,0.7301248476854333
42,15,0.4442777728756728,0.6048994708111446,0.7312000951110227
123,-15,0.40423983058325247,0.6030686738202953,0.7207215116502548
123,-10,0.40582811259154683,0.6039548368076009,0.7218093767044365
123,-5,0.4077252272125651,0.6048231104571438,0.7228764033531596
123,-2,0.40854142768904966,0.6053393313237353,0.7235103315859646
123,0,0.4091811523868349,0.605681031357838,0.7239315528275658
123,2,0.4098429365569576,0.6060225668402012,0.7243502447693766
123,5,0.41107826700785316,0.6065323057991372,0.7249736182970722
123,10,0.4131297979352334,0.6073820071615779,0.7260123447173229
123,15,0.41460778258184067,0.6082300057712349,0.7270438552037493
2026,-15,0.42345363098914673,0.5697572623360146,0.7161116725540659
2026,-10,0.42488749669107917,0.5706303968200972,0.7172285532480924
2026,-5,0.42621106503132444,0.5714495824797708,0.7182659158173057
2026,-2,0.42680667078443485,0.5719192477242971,0.7188463212441812
2026,0,0.4276449307332569,0.5722231437848331,0.7192200632138215
2026,2,0.4284831906820789,0.5725202508937067,0.7195839354172477
2026,5,0.4292111532692138,0.5729528961702371,0.7201109781013265
2026,10,0.4302479484690726,0.5736425095571174,0.7209424081629736
2026,15,0.43146121944763083,0.5742927879238102,0.7217285559806248
