dTTL_%,Standard_TPR_change,SCARF_TPR_change,SCARF_less_degradation,Relative_reduction_in_degradation_%
-2,-0.005161916526956634,-0.004125121327097803,0.001036795199858831,20.085470085470472
-5,-0.013478337598164636,-0.014603370687373107,-0.0011250330892084714,-8.346972176759165
-10,-0.02453013323921288,-0.027905232506838407,-0.0033750992676255254,-13.758992805755444
-15,-0.035515750463248896,-0.039376158122297666,-0.00386040765904877,-10.86956521739124
