Seed,Model,dTTL_%,TPR,FPR,AUROC,AUPRC,TPR_degradation
42,Original,0,0.7540589429100856,0.21545945945945946,0.8916406386753823,0.9146856439433395,0.0
42,TTL-aware,0,0.7503750110297361,0.2227027027027027,0.8886151865158196,0.9120226215477336,0.0
42,Original,-2,0.7466469602047119,0.20494594594594595,0.8914520537368746,0.9148465034995659,0.0074119827053736875
42,TTL-aware,-2,0.7460954733962764,0.21686486486486486,0.8885375160080224,0.9121341014512823,0.0042795376334597846
42,Original,-5,0.7348672019765288,0.18627027027027027,0.890665334254664,0.9146934451132456,0.0191917409335568
42,TTL-aware,-5,0.7377349333803935,0.2065945945945946,0.8880320240937134,0.9119780272352729,0.012640077649342607
42,Original,-10,0.7155651636812848,0.1598918918918919,0.8894095391716608,0.9144212910486833,0.03849377922880082
42,TTL-aware,-10,0.7258669372628607,0.19027027027027027,0.8870998364021835,0.9116423753202121,0.02450807376687547
42,Original,-15,0.6955351627989058,0.13145945945945947,0.8879504922839543,0.9140278743382474,0.05852378011117976
42,TTL-aware,-15,0.7123003617753463,0.17356756756756755,0.8860053357093969,0.9112419757738717,0.03807464925438986
123,Original,0,0.7602797141092386,0.21224324324324326,0.8999801026540527,0.9234384765112749,0.0
123,TTL-aware,0,0.7575222800670608,0.22105405405405407,0.8966392194166284,0.9205714038301303,0.0
123,Original,-2,0.7544780728844966,0.20167567567567568,0.8999309356674242,0.9235736745656741,0.005801641224741916
123,TTL-aware,-2,0.7531765640165887,0.21537837837837837,0.8965680999759134,0.920649244120503,0.0043457160504720704
123,Original,-5,0.744926321362393,0.18456756756756756,0.8994696759761615,0.9234566558236565,0.015353392746845551
123,TTL-aware,-5,0.7462940086473132,0.20505405405405405,0.8961834412061404,0.9205479477129341,0.011228271419747582
123,Original,-10,0.7290435012794494,0.16072972972972974,0.8985390914716888,0.9230557296615827,0.031236212829789167
123,TTL-aware,-10,0.7362128297891114,0.1891891891891892,0.8954870907371679,0.9202855496780876,0.021309450277949393
123,Original,-15,0.7132268596135181,0.13464864864864864,0.8972159321259846,0.9223181015464046,0.0470528544957205
123,TTL-aware,-15,0.7252272125650755,0.17305405405405405,0.894584676476971,0.9198615352355919,0.0322950675019853
2026,Original,0,0.7249183799523515,0.22743243243243244,0.8851965546681421,0.9115477059729491,0.0
2026,TTL-aware,0,0.7258228183181858,0.2394864864864865,0.8809766011599707,0.9071438615989955,0.0
2026,Original,-2,0.7177711109150269,0.2140810810810811,0.8855109158615952,0.9119019685226251,0.007147269037324655
2026,TTL-aware,-2,0.7218962322421247,0.23251351351351351,0.8813543854231007,0.9075168787204444,0.0039265860760611115
2026,Original,-5,0.7055722227124327,0.1901891891891892,0.8855144674366418,0.9120321874607741,0.019346157239918838
2026,TTL-aware,-5,0.7145724874261008,0.21978378378378377,0.8815293191254433,0.9077343946653905,0.011250330892085048
2026,Original,-10,0.6883658342892438,0.1574054054054054,0.8854302425826515,0.9121374620418932,0.03655254566310773
2026,TTL-aware,-10,0.7029471455042795,0.19945945945945945,0.8816374394556915,0.907948992823215,0.022875672813906345
2026,Original,-15,0.6707623753639813,0.12437837837837838,0.8852807529911451,0.9121947806906713,0.05415600458837022
2026,TTL-aware,-15,0.6918732903908938,0.1781891891891892,0.8816330853928137,0.9080869151303398,0.033949527927292
