dTTL Perturbation (%),TPR,TPR Drop,AUROC,AUPRC
-15,0.4030706785493691,-0.039376158122297666,0.7593471818129786,0.7983793672083811
-10,0.4145416041648284,-0.027905232506838407,0.7615155578900175,0.8011950763467238
-5,0.4278434659842937,-0.014603370687373107,0.7634674241213772,0.8039842046157135
-2,0.438321715344569,-0.004125121327097803,0.7646102827547392,0.8058522569337585
0,0.4424468366716668,0.0,0.7648173967557074,0.8066087024016462
2,0.44765287214329835,0.005206035471631565,0.7654237359326148,0.8074781274462824
5,0.44767493161563576,0.005228094943968975,0.7654356891856119,0.8074918931561108
10,0.44767493161563576,0.005228094943968975,0.7654315589965682,0.8075024222995895
15,0.44767493161563576,0.005228094943968975,0.7654371892297309,0.8075172112428675
