Seed,TPR,FPR,AUROC,AUPRC
42,0.7503750110297361,0.2227027027027027,0.8886151865158196,0.9120226215477336
123,0.7575222800670608,0.22105405405405407,0.8966392194166284,0.9205714038301303
2026,0.7258228183181858,0.2394864864864865,0.8809766011599707,0.9071438615989955
