Transformation,DUR Scale,SJIT Scale,DJIT Scale,RF TPR,RF TPR Degradation,RF Evasion Rate,RF AUROC,RF AUPRC,MLP TPR,MLP TPR Degradation,MLP Evasion Rate,MLP AUROC,MLP AUPRC
ALL CLEAN,1.0,1.0,1.0,0.6829465572516839,4.42748316120678e-07,0.31705344274831615,0.7995078016006829,0.8150719990331686,0.42165946057236975,0.0018605394276302405,0.5783405394276303,0.6605975577183112,0.7469007231262434
DUR +5% + SJIT +5% + DJIT +5%,1.05,1.05,1.05,0.6829539104091297,-6.9104091297012005e-06,0.31704608959087033,0.7990085982258619,0.8149287479039025,0.42191682108297307,0.0016031789170269743,0.578083178917027,0.6605402152130071,0.7468336337793469
DUR +5% + SJIT -5% + DJIT -5%,1.05,0.95,0.95,0.6831892114473955,-0.00024221144739552022,0.3168107885526045,0.7998186588158793,0.8155469099178237,0.4215123974234536,0.002007602576546382,0.5784876025765464,0.6606139657923166,0.7469363520842696
DUR -5% + SJIT +5% + DJIT +5%,0.95,1.05,1.05,0.6825200741198271,0.00042692588017290145,0.31747992588017293,0.7987788558765242,0.8152786570110345,0.4218212300361775,0.0016987699638224922,0.5781787699638224,0.6605746765803128,0.7468588223608005
DUR -5% + SJIT -5% + DJIT -5%,0.95,0.95,0.95,0.6826671372687433,0.0002798627312567599,0.31733286273125677,0.7997459193950855,0.8159307294074232,0.421497691108562,0.0020223088914379885,0.5785023088914379,0.6606486680252122,0.7469567357972026
