Model,TPR,AUROC,AUPRC
Random Forest,0.6829 ± 0.0307,0.7995 ± 0.0049,0.8151 ± 0.0036
MLP,0.4217 ± 0.0181,0.6606 ± 0.0087,0.7469 ± 0.0037
