dTTL_%,Standard_MLP_TPR,Standard_MLP_TPR_SD,TTL_Augmented_MLP_TPR,TTL_Augmented_MLP_TPR_SD,Standard_AUROC,Standard_AUROC_SD,Augmented_AUROC,Augmented_AUROC_SD,Standard_TPR_Degradation,Augmented_TPR_Degradation
-15,0.38362893026265477,0.017153936082190093,0.4204535427512574,0.014941299292038777,0.6459443877721364,0.007825153581610891,0.5907476494737921,0.018269672196671086,0.03803053030971498,0.005000147063148885
-10,0.3943351275037501,0.01740384722815612,0.4221153563340098,0.015093327837219537,0.6505031680184552,0.008077850017074804,0.59165300887228,0.018293950689500262,0.027324333068619644,0.0033383334803964715
-5,0.40735756934027467,0.017936539639511466,0.4238065825465455,0.015024120212687538,0.6554072084194845,0.008360091309283687,0.5925308751131789,0.01834076711705272,0.014301891232095076,0.00164710726786077
-2,0.4156666372540369,0.01815786710556167,0.4246963145974882,0.01520991152911726,0.6584908131240744,0.008567018891859781,0.5930461884610279,0.018378043573995567,0.0059928233183328405,0.0007573752169180992
0,0.42165946057236975,0.018097566547277174,0.4254536898144063,0.015295095986339392,0.6605975577183112,0.008740038499605944,0.5933844847781691,0.01840641179614855,0.0,0.0
2,0.4272405070737375,0.01790726949677881,0.4262037118738786,0.015348516279665634,0.6627231980392111,0.008960238801496555,0.5937193557163446,0.018437841168903058,-0.005581046501367759,-0.0007500220594723328
5,0.4355054560428248,0.016879638589043157,0.427144916026942,0.015139651200809977,0.6658907078348091,0.009355320232792364,0.5942143266534866,0.018490083264479054,-0.013845995470455064,-0.0016912262125357014
10,0.4482558310538545,0.014886619341847344,0.4286817259331157,0.014830972232985655,0.6709612901969294,0.010206900774169431,0.5950222045481465,0.01859051555304298,-0.026596370481484777,-0.003228036118709421
15,0.45935174563957765,0.013509231185552322,0.4301155916350481,0.014880696108264573,0.6755169541949962,0.011134489196826677,0.5958074215020632,0.018706488427413754,-0.0376922850672079,-0.004661901820641801
