dTTL_%,Metric,SCARF_minus_Standard,CI_95_low,CI_95_high,Significant_95pct
-15,TPR,0.009926762551839774,0.008042430070344869,0.011978847636907947,True
-15,AUROC,0.12160655917542884,0.11951533785296647,0.12360458343620195,True
-15,AUPRC,0.06626151882909903,0.06476280562114946,0.06777550982691484,True
-10,TPR,0.010412070943263019,0.00849690687714826,0.01233680727501914,True
-10,AUROC,0.11909182702511922,0.11694907888426007,0.1212519648343252,True
-10,AUPRC,0.06471265382007318,0.06332625459679429,0.06620734513490648,True
-5,TPR,0.012662137121680073,0.010842641606532366,0.014634938650151915,True
-5,AUROC,0.11718409881689684,0.11517140144031329,0.11923028346500607,True
-5,AUPRC,0.06348776694193536,0.06206279431335787,0.06491576504275252,True
-2,TPR,0.014823965410747375,0.012843237290017065,0.016734546356718793,True
-2,AUROC,0.11488366877642664,0.11298484813998001,0.11690236293729403,True
-2,AUPRC,0.06226243361797845,0.06090351987709853,0.06364581699859426,True
0,TPR,0.013787170210888544,0.01177256474264299,0.015615367270533923,True
0,AUROC,0.11395530095082285,0.11204382043057365,0.11590637929835954,True
0,AUPRC,0.061533236083469056,0.06017654657551369,0.06293812198858767,True
