Augmentation,TPR_mean,TPR_SD,AUROC_mean,AUROC_SD,AUPRC_mean,AUPRC_SD
0%,0.42232859789993826,0.010821020021890301,0.6645910705442052,0.00923690007205825,0.7473053787732492,0.010519425689824247
±2%,0.42063001852995674,0.00766302380603675,0.6665600114033561,0.003896658554293234,0.7475199774316389,0.009567364020541093
±5%,0.42218888790846787,0.006842894305778427,0.6621023444250745,0.0032284594312547185,0.7492650660019159,0.004983218790668061
±10%,0.42109326744904263,0.006487772946259288,0.6379518163491295,0.01700314395839358,0.7393826717928365,0.00319094530682147
±15%,0.42723315391629163,0.015255530025434675,0.6409543685903322,0.024241966595532072,0.7435653527161415,0.013479065812832257
