Seed,dTTL_%,Standard_TPR,Standard_AUROC,Standard_AUPRC,Augmented_TPR,Augmented_AUROC,Augmented_AUPRC
42,-15,0.3939380570016765,0.6531550998519035,0.7377704876741156,0.4331156798729374,0.5770979747615789,0.7153564376435799
42,-10,0.4051883878937616,0.6578796587220769,0.7419439598893258,0.43421865348980854,0.5776875639426597,0.7163830342827632
42,-5,0.4200344127768464,0.6627412313597458,0.7463523979857175,0.4352995676343422,0.5782304508359944,0.7173962098779161
42,-2,0.42883614223947764,0.6657361579792093,0.7491852628491769,0.4359392923321274,0.5785337739464514,0.7179352948316602
42,0,0.4352113297449925,0.6677682995247077,0.7511333292610429,0.4362040060001765,0.5787288384078069,0.718307519937843
42,2,0.4410129709697344,0.6698166008260975,0.7531223306032178,0.43649077914056295,0.5789160341957593,0.7186492859377014
42,5,0.44910879731756814,0.6728058173213362,0.7561109077725574,0.43679961175328685,0.5791907083117707,0.7191525584279141
42,10,0.4617709344392482,0.6774169684442229,0.7608912118703612,0.43737315803405985,0.5796247302186154,0.7199622801072947
42,15,0.4722050648548487,0.6814667542884807,0.765246982231523,0.4382334774552193,0.5800348399555472,0.7207557700589897
123,-15,0.3638268772610959,0.6470546708249766,0.7300117706107073,0.42374040412953323,0.5657277649461867,0.7170589759348633
123,-10,0.3742610076766964,0.6517588279623486,0.7340916174834066,0.4244242477719933,0.5660058958411336,0.7174704494524295
123,-5,0.3868349069090267,0.6571762071897187,0.738946556141754,0.4247551398570546,0.566283303543109,0.717919726751176
123,-2,0.3949527927291979,0.660701025586603,0.7421925315373856,0.4250419129974411,0.5664476516797394,0.7181626822710119
123,0,0.40110738551133857,0.6631622778253414,0.7444933737995101,0.4251742698314656,0.5665575612120547,0.7183231172847588
123,2,0.4069972646254302,0.6656994259767577,0.7468919936830124,0.4254389834995147,0.5666665713737209,0.7184826899938578
123,5,0.41661519456454604,0.6696205004638451,0.7506502850979315,0.42590223241860053,0.566828521884189,0.7187180792487218
123,10,0.43229947939645286,0.6762730053467392,0.7571827496217624,0.42640960028236125,0.5670931622193975,0.719099916818058
123,15,0.4452704491308568,0.6824125535687457,0.7634502234521525,0.42678461131209744,0.5673549780478441,0.7194750653638692
2026,-15,0.39312185652519194,0.6376233926395292,0.7320283518891931,0.430005294273361,0.5637225141955686,0.7198864807232571
2026,-10,0.40355598694079237,0.6418710173709401,0.7361461957096751,0.4307111973881585,0.5638562026466597,0.7201428853267575
2026,-5,0.415203388334951,0.646304186708989,0.7405063994993941,0.4313509220859437,0.563981740718924,0.7204061336776475
2026,-2,0.4232109767934351,0.6490352558064109,0.7432286810242489,0.43159357628165534,0.5640512143441421,0.7205391379509383
2026,0,0.42865966646077824,0.6508620958048845,0.7450754663181771,0.43168181417100504,0.5640945120206239,0.7206223232053546
2026,2,0.4337112856260478,0.652653567314778,0.746914929074136,0.43188034942204184,0.5641376490206786,0.7207234534604996
2026,5,0.4407923762463602,0.6552458057192461,0.7496149739713238,0.43218918203476575,0.5641972274820484,0.7208386149723631
2026,10,0.4506970793258625,0.6591938967998264,0.7538363434269526,0.4327847877878761,0.5642863429806759,0.7210380784799288
2026,15,0.46057972293302746,0.6626715547277622,0.7576021475119928,0.4333803935409865,0.5643580592195478,0.7211905919903558
