Seed,TTL Feature,Scale,Scale (%),RF Clean TPR,RF TPR,RF TPR Degradation,RF Evasion Rate,RF AUROC,RF AUPRC,MLP Clean TPR,MLP TPR,MLP TPR Degradation,MLP Evasion Rate,MLP AUROC,MLP AUPRC
42,sttl,-0.15,-15.0,0.7167122562428306,0.6955572222712433,0.021155033971587356,0.3044427777287567,0.8047182003763227,0.8166451037464254,0.4352113297449925,0.42440218829965587,0.010809141445336623,0.5755978117003441,0.6566882382470709,0.7417972890338105
42,sttl,-0.1,-10.0,0.7167122562428306,0.6955572222712433,0.021155033971587356,0.3044427777287567,0.8047182003763227,0.8166451037464254,0.4352113297449925,0.4283949527927292,0.006816376952263281,0.5716050472072708,0.6605869333994719,0.7452515963970312
42,sttl,-0.05,-5.0,0.7167122562428306,0.6955572222712433,0.021155033971587356,0.3044427777287567,0.8047182003763227,0.8166451037464254,0.4352113297449925,0.43130680314126885,0.003904526603723646,0.5686931968587311,0.6641983408891995,0.7482445932761044
42,sttl,-0.02,-2.0,0.7167122562428306,0.6955572222712433,0.021155033971587356,0.3044427777287567,0.8047190237312226,0.8166476361120312,0.4352113297449925,0.4338877614047472,0.0013235683402452736,0.5661122385952528,0.6664606694513273,0.7500712118269881
42,sttl,0.0,0.0,0.7167122562428306,0.7167122562428306,0.0,0.2832877437571693,0.8051112858645285,0.8191604040250673,0.4352113297449925,0.4352113297449925,0.0,0.5647886702550075,0.6677682995247077,0.7511333292610429
42,sttl,0.02,2.0,0.7167122562428306,0.7168004941321804,-8.823788934975152e-05,0.28319950586781967,0.8051065189317969,0.819166563022137,0.4352113297449925,0.4355863407747287,-0.00037501102973619416,0.5644136592252713,0.6678899536393359,0.7512925180998802
42,sttl,0.05,5.0,0.7167122562428306,0.7168004941321804,-8.823788934975152e-05,0.28319950586781967,0.8050750728558789,0.8191505093055793,0.4352113297449925,0.4356084002470661,-0.0003970705020736043,0.564391599752934,0.6677382363392246,0.7512418907877066
42,sttl,0.1,10.0,0.7167122562428306,0.7168004941321804,-8.823788934975152e-05,0.28319950586781967,0.8050755706845114,0.8191507658285334,0.4352113297449925,0.4356304597194035,-0.0004191299744110144,0.5643695402805965,0.6676025184166784,0.7511953751212979
42,sttl,0.15,15.0,0.7167122562428306,0.7168004941321804,-8.823788934975152e-05,0.28319950586781967,0.8050756386515342,0.8191507988854403,0.4352113297449925,0.4356745786640784,-0.00046324891908589017,0.5643254213359217,0.6672666850098135,0.7510648918692826
42,dttl,-0.15,-15.0,0.7167122562428306,0.7167122562428306,0.0,0.2832877437571693,0.8051115991686559,0.8191605590159564,0.4352113297449925,0.39407041383570107,0.04114091590929142,0.6059295861642989,0.6533101281595722,0.7379319767358775
42,dttl,-0.1,-10.0,0.7167122562428306,0.7167122562428306,0.0,0.2832877437571693,0.8051115991686559,0.8191605590159564,0.4352113297449925,0.40573987470219713,0.029471455042795358,0.5942601252978029,0.6584233639025949,0.7423355012190466
42,dttl,-0.05,-5.0,0.7167122562428306,0.7167122562428306,0.0,0.2832877437571693,0.8051115300092292,0.8191605248228849,0.4352113297449925,0.4199020559428219,0.01530927380217062,0.5800979440571782,0.6627845773285861,0.7464282357677956
42,dttl,-0.02,-2.0,0.7167122562428306,0.7167122562428306,0.0,0.2832877437571693,0.8051115079497568,0.819160514912658,0.4352113297449925,0.42923321274155124,0.005978117003441252,0.5707667872584488,0.6663699793833364,0.7495881500468522
42,dttl,0.0,0.0,0.7167122562428306,0.7167122562428306,0.0,0.2832877437571693,0.8051112858645285,0.8191604040250673,0.4352113297449925,0.4352113297449925,0.0,0.5647886702550075,0.6677682995247077,0.7511333292610429
42,dttl,0.02,2.0,0.7167122562428306,0.7167122562428306,0.0,0.2832877437571693,0.8051141792326165,0.8192339595149324,0.4352113297449925,0.43920409423806583,-0.003992764493073342,0.5607959057619342,0.6691327202191162,0.7525202133673186
42,dttl,0.05,5.0,0.7167122562428306,0.7167122562428306,0.0,0.2832877437571693,0.8051141792326165,0.8192339595149324,0.4352113297449925,0.43920409423806583,-0.003992764493073342,0.5607959057619342,0.6691323112245751,0.752520319190364
42,dttl,0.1,10.0,0.7167122562428306,0.7167122562428306,0.0,0.2832877437571693,0.8051141792326165,0.8192339595149324,0.4352113297449925,0.43920409423806583,-0.003992764493073342,0.5607959057619342,0.6682309760899168,0.7521698351162013
42,dttl,0.15,15.0,0.7167122562428306,0.7167122562428306,0.0,0.2832877437571693,0.8051141792326165,0.8192339595149324,0.4352113297449925,0.43920409423806583,-0.003992764493073342,0.5607959057619342,0.6677746410268028,0.7519926061646831
123,sttl,-0.15,-15.0,0.6567546104297185,0.6515265154857496,0.0052280949439689195,0.3484734845142504,0.7962234326446803,0.8079194224716887,0.40110738551133857,0.3922835965763699,0.008823788934968657,0.6077164034236301,0.6562760227248337,0.7372460812087431
123,sttl,-0.1,-10.0,0.6567546104297185,0.6515265154857496,0.0052280949439689195,0.3484734845142504,0.7962234326446803,0.8079194224716887,0.40110738551133857,0.39550427953763345,0.005603105973705114,0.6044957204623665,0.6589013440776874,0.7402195313859928
123,sttl,-0.05,-5.0,0.6567546104297185,0.6515265154857496,0.0052280949439689195,0.3484734845142504,0.7962234326446803,0.8079194224716887,0.40110738551133857,0.39819553516279893,0.002911850348539635,0.6018044648372011,0.6611272876269015,0.7425143480130308
123,sttl,-0.02,-2.0,0.6567546104297185,0.6515265154857496,0.0052280949439689195,0.3484734845142504,0.7962243582482155,0.807923371632045,0.40110738551133857,0.4000264713668049,0.0010809141445336512,0.5999735286331951,0.6624370273609002,0.7437933444224578
123,sttl,0.0,0.0,0.6567546104297185,0.6567546104297185,0.0,0.3432453895702815,0.7967184102394109,0.8138934711336903,0.40110738551133857,0.40110738551133857,0.0,0.5988926144886614,0.6631622778253414,0.7444933737995101
123,sttl,0.02,2.0,0.6567546104297185,0.6563795993999824,0.00037501102973613865,0.34362040060001764,0.7966405969412454,0.8138271012616161,0.40110738551133857,0.40128386129003796,-0.00017647577869939202,0.5987161387099621,0.6632215215193134,0.7445915857053109
123,sttl,0.05,5.0,0.6567546104297185,0.6563795993999824,0.00037501102973613865,0.34362040060001764,0.7965757432849774,0.8137900946733416,0.40110738551133857,0.4012397423453631,-0.00013235683402451626,0.5987602576546369,0.6631241674039697,0.7445371632149209
123,sttl,0.1,10.0,0.6567546104297185,0.6563795993999824,0.00037501102973613865,0.34362040060001764,0.7965771231944024,0.8137908279266867,0.40110738551133857,0.4012397423453631,-0.00013235683402451626,0.5987602576546369,0.6630330543306917,0.7444753006503397
123,sttl,0.15,15.0,0.6567546104297185,0.6563795993999824,0.00037501102973613865,0.34362040060001764,0.7965771231944024,0.8137908279266867,0.40110738551133857,0.40121768287302567,-0.00011029736168710613,0.5987823171269743,0.6628229426262935,0.7443666605278167
123,dttl,-0.15,-15.0,0.6567546104297185,0.6567546104297185,0.0,0.3432453895702815,0.7967200116378622,0.8138949889901319,0.40110738551133857,0.3639151151504456,0.037192270360892954,0.6360848848495544,0.6470786718289807,0.7300880430550218
123,dttl,-0.1,-10.0,0.6567546104297185,0.6567546104297185,0.0,0.3432453895702815,0.7967200116378622,0.8138949889901319,0.40110738551133857,0.3747021971234448,0.02640518838789374,0.6252978028765552,0.6520337781198653,0.7343337912666812
123,dttl,-0.05,-5.0,0.6567546104297185,0.6567546104297185,0.0,0.3432453895702815,0.796719894782279,0.8138949318793506,0.40110738551133857,0.3864378364069532,0.014669549104385393,0.6135621635930468,0.657054650852211,0.738902180295826
123,dttl,-0.02,-2.0,0.6567546104297185,0.6567546104297185,0.0,0.3432453895702815,0.7967194029156661,0.8138946992475264,0.40110738551133857,0.3951513279802347,0.005956057531103842,0.6048486720197653,0.6609778361923204,0.7424036322870231
