TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,RF TPR Drop,MLP TPR,MLP TPR Drop,RF TPR SD,RF TPR Drop SD,MLP TPR SD,MLP TPR Drop SD,RF TPR Drop CI Low,RF TPR Drop CI High,MLP TPR Drop CI Low,MLP TPR Drop CI High
dttl,-15,Analysis,677.0,0.7805022156573117,0.0,0.9084194977843426,-0.03574593796159531,0.01395844567790539,0.0,0.0752961363422921,0.020847596767358784,0.0,0.0,-0.06162749845462528,-0.00986437746856534
dttl,-15,Backdoor,583.0,0.9077186963979417,0.0,0.9324185248713551,-0.019210977701543695,0.01447342923480552,0.0,0.0298968429454275,0.005342165180925372,0.0,0.0,-0.025843088483269796,-0.012578866919817595
dttl,-15,DoS,4089.0,0.3428222059183174,0.0,0.7056493030080705,-0.031205673758865248,0.08061078640329797,0.0,0.21654875090306344,0.008929904800365313,0.0,0.0,-0.04229183749594977,-0.020119510021780723
dttl,-15,Exploits,11132.0,0.46679841897233204,0.0,0.5492633848365074,-0.08345310815666548,0.06433289833439168,0.0,0.09689895727146053,0.015323119125238484,0.0,0.0,-0.10247622333906875,-0.06442999297426222
dttl,-15,Fuzzers,6062.0,0.5957109864731112,0.0,0.351270207852194,-0.11379082810953481,0.007126284565251775,0.0,0.040814127022586515,0.01973672969830081,0.0,0.0,-0.13829328608209804,-0.08928837013697158
dttl,-15,Generic,18871.0,0.9841767791849929,0.0,0.7518202532987124,-0.0009114514334163549,0.004498432978181847,0.0,0.23604269898072577,0.003599982157948551,0.0,0.0,-0.005380703071123383,0.0035578002042906736
dttl,-15,Reconnaissance,3496.0,0.3603546910755149,0.0,0.40085812356979406,-0.09748283752860412,0.012331991749770968,0.0,0.06455842564676924,0.011274885986276278,0.0,0.0,-0.11148021319555469,-0.08348546186165355
dttl,-15,Shellcode,378.0,0.3941798941798942,0.0,0.36666666666666664,-0.1052910052910053,0.0,0.0,0.02937580241797104,0.020780250673709505,0.0,0.0,-0.13108895796984912,-0.07949305261216147
dttl,-15,Worms,44.0,0.40909090909090906,0.0,0.32727272727272727,-0.16363636363636366,0.03936479108111087,0.0,0.07639880142714371,0.06508100483307434,0.0,0.0,-0.24443214946869815,-0.08284057780402918
dttl,-10,Analysis,677.0,0.7805022156573117,0.0,0.9249630723781388,-0.019202363367799104,0.01395844567790539,0.0,0.08472068893503353,0.014918027973946976,0.0,0.0,-0.03772257208792094,-0.0006821546476772702
dttl,-10,Backdoor,583.0,0.9077186963979417,0.0,0.9403087478559176,-0.01132075471698113,0.01447342923480552,0.0,0.032052991085552214,0.0043052831554069425,0.0,0.0,-0.01666561281596117,-0.005975896618001089
dttl,-10,DoS,4089.0,0.3428222059183174,0.0,0.715920763022744,-0.020934213744191733,0.08061078640329797,0.0,0.21850097878854338,0.006364633893937957,0.0,0.0,-0.028835683586502656,-0.013032743901880809
dttl,-10,Exploits,11132.0,0.46679841897233204,0.0,0.5797161336687029,-0.05300035932446999,0.06433289833439168,0.0,0.0994903168671276,0.010627442631096117,0.0,0.0,-0.06619395676461114,-0.03980676188432884
