Seed,dTTL_%,TPR,AUROC,AUPRC
42,-15,0.3939380570016765,0.6531550998519035,0.7377704876741156
42,-10,0.4051883878937616,0.6578796587220769,0.7419439598893258
42,-5,0.4200344127768464,0.6627412313597458,0.7463523979857175
42,-2,0.42883614223947764,0.6657361579792093,0.7491852628491769
42,0,0.4352113297449925,0.6677682995247077,0.7511333292610429
42,2,0.4410129709697344,0.6698166008260975,0.7531223306032178
42,5,0.44910879731756814,0.6728058173213362,0.7561109077725574
42,10,0.4617709344392482,0.6774169684442229,0.7608912118703612
42,15,0.4722050648548487,0.6814667542884807,0.765246982231523
123,-15,0.3638268772610959,0.6470546708249766,0.7300117706107073
123,-10,0.3742610076766964,0.6517588279623486,0.7340916174834066
123,-5,0.3868349069090267,0.6571762071897187,0.738946556141754
123,-2,0.3949527927291979,0.660701025586603,0.7421925315373856
123,0,0.40110738551133857,0.6631622778253414,0.7444933737995101
123,2,0.4069972646254302,0.6656994259767577,0.7468919936830124
123,5,0.41661519456454604,0.6696205004638451,0.7506502850979315
123,10,0.43229947939645286,0.6762730053467392,0.7571827496217624
123,15,0.4452704491308568,0.6824125535687457,0.7634502234521525
2026,-15,0.39312185652519194,0.6376233926395292,0.7320283518891931
2026,-10,0.40355598694079237,0.6418710173709401,0.7361461957096751
2026,-5,0.415203388334951,0.646304186708989,0.7405063994993941
2026,-2,0.4232109767934351,0.6490352558064109,0.7432286810242489
2026,0,0.42865966646077824,0.6508620958048845,0.7450754663181771
2026,2,0.4337112856260478,0.652653567314778,0.746914929074136
2026,5,0.4407923762463602,0.6552458057192461,0.7496149739713238
2026,10,0.4506970793258625,0.6591938967998264,0.7538363434269526
2026,15,0.46057972293302746,0.6626715547277622,0.7576021475119928
