Feature,Scale,Perturbation_%,RF TPR,RF TPR Degradation,RF Evasion Rate,RF AUROC,RF AUPRC,MLP TPR,MLP TPR Degradation,MLP Evasion Rate,MLP AUROC,MLP AUPRC
djit,0.9,-9.999999999999998,0.030586848516711364,0.030586848516711396,0.0305868485167114,0.004860001523394072,0.0036520013919882086,0.018135144846070074,0.018135144846070074,0.0181351448460701,0.008752904431056847,0.0036825080104144754
djit,0.95,-5.000000000000004,0.030643545022496017,0.03064354502249602,0.030643545022496024,0.004840651548471282,0.0036018175647248357,0.018143166138774813,0.018143166138774817,0.01814316613877482,0.008746753041228595,0.0036783937227434556
djit,1.0,0.0,0.030687963671491566,0.030687963671491566,0.030687963671491566,0.004852775439159384,0.0036449532288236803,0.018097566547277174,0.01809756654727717,0.018097566547277188,0.008740038499605944,0.0036770808998890787
djit,1.05,5.000000000000004,0.030731064557586132,0.030731064557586132,0.030731064557586132,0.004842552416414385,0.003677085453183969,0.018114695515909305,0.0181146955159093,0.018114695515909295,0.008732533600564236,0.003674373173969816
djit,1.1,10.000000000000009,0.030718930064470205,0.03071893006447024,0.030718930064470244,0.00488288114009615,0.0037094280402130662,0.018181667259586132,0.018181667259586136,0.018181667259586143,0.008724443513657639,0.003674493865825134
sjit,0.9,-9.999999999999998,0.03044027344597265,0.030440273445972613,0.030440273445972613,0.004964500519461581,0.00371206829037842,0.018102804607327484,0.018102804607327487,0.018102804607327456,0.008853571730886715,0.003785961952588067
sjit,0.95,-5.000000000000004,0.03064887495467181,0.03064887495467178,0.03064887495467178,0.0049068353320079906,0.003714853539946789,0.018197290921228872,0.018197290921228876,0.018197290921228883,0.008794641118972213,0.0037300244228770474
sjit,1.0,0.0,0.030687963671491566,0.030687963671491566,0.030687963671491566,0.004852775439159384,0.0036449532288236803,0.018097566547277174,0.01809756654727717,0.018097566547277188,0.008740038499605944,0.0036770808998890787
sjit,1.05,5.000000000000004,0.030623770655427075,0.030623770655427113,0.03062377065542711,0.004785174071146787,0.0036449987508458816,0.018170619152018258,0.01817061915201827,0.018170619152018227,0.008689276114211459,0.0036251512977249992
sjit,1.1,10.000000000000009,0.030676964842031168,0.030676964842031168,0.030676964842031168,0.004694873166317773,0.003577666106149351,0.018222904489265893,0.018222904489265886,0.018222904489265907,0.008645003250736449,0.003568753798938073
