Metric,Mean,SD
TPR,0.7445733698049942,0.016627033694185046
FPR,0.22774774774774775,0.010199411795488347
AUROC,0.8887436690308063,0.007832099557649904
AUPRC,0.9132459623256198,0.0067968481361846
