Seed,TTL Feature,Perturbation (%),RF TPR,RF TPR Drop,RF Evasion Rate,RF AUROC,RF AUPRC,MLP TPR,MLP TPR Drop,MLP Evasion Rate,MLP AUROC,MLP AUPRC
42,sttl,-15,0.6582767140210006,-0.012110650313244542,0.34172328597899937,0.8011323884327282,0.813040682778342,0.5788405541339451,-0.06986234889261456,0.42115944586605486,0.8218327751889365,0.8565866568618639
42,sttl,-10,0.6582767140210006,-0.012110650313244542,0.34172328597899937,0.8011323884327282,0.813040682778342,0.5999514691608576,-0.04875143386570202,0.4000485308391423,0.8291924232866945,0.8635827647358119
42,sttl,-5,0.6582767140210006,-0.012110650313244542,0.34172328597899937,0.8011323884327282,0.813040682778342,0.6221653578046413,-0.026537545221918313,0.37783464219535867,0.8360086005113028,0.8699503832767566
42,sttl,-2,0.6582767140210006,-0.012110650313244542,0.34172328597899937,0.8011333137381624,0.8130439020777929,0.6385996646960205,-0.010103238330539166,0.3614003353039795,0.8404211922369735,0.8740028881011175
42,sttl,0,0.6703873643342452,0.0,0.3296126356657549,0.8025337152205589,0.8172541753912429,0.6487029030265596,0.0,0.3512970969734404,0.8431076466477949,0.8764372334822809
42,sttl,2,0.6703873643342452,0.0,0.3296126356657549,0.8024886730571567,0.8173159400719929,0.650975028677314,0.0022721256507544085,0.34902497132268595,0.8435915948044577,0.876882047805472
42,sttl,5,0.6703873643342452,0.0,0.3296126356657549,0.8024697364906599,0.817306247952682,0.6511515044560134,0.0024486014294538005,0.3488484955439866,0.8434733783903023,0.8767974276052938
42,sttl,10,0.6703873643342452,0.0,0.3296126356657549,0.802469655407194,0.8173062229699126,0.6515265154857496,0.002823612459189939,0.3484734845142504,0.8432911134906191,0.8766643108629203
42,sttl,15,0.6703873643342452,0.0,0.3296126356657549,0.8024697594444352,0.8173062776167397,0.6516147533750992,0.0029118503485395797,0.3483852466249007,0.8430994414183881,0.8765222053331191
42,dttl,-15,0.6703873643342452,0.0,0.3296126356657549,0.8025342565719342,0.8172544435115039,0.6080031765640166,-0.04069972646254305,0.3919968234359834,0.8472331862105642,0.8802349483131304
42,dttl,-10,0.6703873643342452,0.0,0.3296126356657549,0.8025342565719342,0.8172544435115039,0.6251213270978558,-0.023581575928703802,0.37487867290214416,0.8463833498083807,0.8793710112164983
42,dttl,-5,0.6703873643342452,0.0,0.3296126356657549,0.8025342100681816,0.8172544165140977,0.6376290479131739,-0.011073855113385767,0.36237095208682607,0.8453434591279712,0.8783955014347062
42,dttl,-2,0.6703873643342452,0.0,0.3296126356657549,0.8025341236188982,0.8172543754485627,0.6461660637077561,-0.002536839318803552,0.3538339362922439,0.8444721019219167,0.8776268882381075
42,dttl,0,0.6703873643342452,0.0,0.3296126356657549,0.8025337152205589,0.8172541753912429,0.6487029030265596,0.0,0.3512970969734404,0.8431076466477949,0.8764372334822809
42,dttl,2,0.6698358775258095,-0.0005514868084356417,0.3301641224741904,0.802442189575528,0.8171904210803529,0.6558942910085591,0.007191387981999475,0.34410570899144094,0.8434101675685215,0.876739181996466
42,dttl,5,0.6698358775258095,-0.0005514868084356417,0.3301641224741904,0.802442189575528,0.8171904210803529,0.6558942910085591,0.007191387981999475,0.34410570899144094,0.8434121475552143,0.8767412492775779
