dTTL_%,Standard_TPR_mean,Standard_TPR_SD,Augmented_TPR_mean,Augmented_TPR_SD,Standard_AUROC_mean,Standard_AUROC_SD,Augmented_AUROC_mean,Augmented_AUROC_SD,Standard_AUPRC_mean,Standard_AUPRC_SD,Augmented_AUPRC_mean,Augmented_AUPRC_SD
-15,0.38362893026265477,0.017153936082190093,0.4289537927586105,0.004775268619968671,0.6459443877721364,0.007825153581610891,0.568849417967778,0.007213478670421844,0.7332702033913386,0.004025676214319994,0.7174339647672334,0.0022881837872501857
-10,0.3943351275037501,0.01740384722815612,0.42978469954998677,0.00496249881857876,0.6505031680184552,0.008077850017074804,0.5691832208101509,0.007442995653241934,0.7373939243608025,0.004072154270786198,0.7179987896873167,0.0019348068433584496
-5,0.40735756934027467,0.017936539639511466,0.4304685431924469,0.005327305479449732,0.6554072084194845,0.008360091309283687,0.5694984983660092,0.007649153110768532,0.7419351178756219,0.003904170911138292,0.7185740234355799,0.001608100877887876
-2,0.4156666372540369,0.01815786710556167,0.4308582605370746,0.005485775790549884,0.6584908131240744,0.008567018891859781,0.5696775466567776,0.007762750757987324,0.7448688251369372,0.003773874313290754,0.7188790383512034,0.001442176921418963
0,0.42165946057236975,0.018097566547277174,0.4310200300008824,0.005544568396522054,0.6605975577183112,0.008740038499605944,0.5697936372134952,0.00783549731140116,0.7469007231262434,0.0036770808998890787,0.7190843201426521,0.0013319725541351371
2,0.4272405070737375,0.01790726949677881,0.43127003735403985,0.005551117665671937,0.6627231980392111,0.008960238801496555,0.569906751530053,0.007904064946587755,0.7489764177867887,0.003590484134363229,0.7192851431306863,0.0012483953723729287
5,0.4355054560428248,0.016879638589043157,0.43163034206888434,0.005470141284428764,0.6658907078348091,0.009355320232792364,0.570072152559336,0.008005746174803314,0.7521253889472709,0.003490162963566904,0.7195697508829997,0.0011201361958462935
10,0.4482558310538545,0.014886619341847344,0.4321891820347657,0.005505993035190032,0.6709612901969294,0.010206900774169431,0.570334745139563,0.008166849186588275,0.7573034349730254,0.0035289822759483314,0.7200334251350938,0.0009710375214799529
15,0.45935174563957765,0.013509231185552322,0.43279949410276775,0.00574649607228374,0.6755169541949962,0.011134489196826677,0.5705826257409797,0.008321877539618255,0.7620997843985561,0.003997328945726456,0.7204738091377383,0.0008918432442873059
