Seed,TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,MLP TPR,RF Clean TPR,MLP Clean TPR,RF TPR Drop,MLP TPR Drop
42,sttl,-15,Analysis,677,0.7769571639586411,0.9896602658788775,0.7769571639586411,0.9926144756277696,0.0,-0.002954209748892156
42,sttl,-15,Backdoor,583,0.902229845626072,0.9622641509433962,0.902229845626072,0.9656946826758147,0.0,-0.0034305317324184736
42,sttl,-15,DoS,4089,0.25874296894106136,0.8185375397407679,0.27879677182685253,0.8256297383223282,-0.020053802885791172,-0.007092198581560294
42,sttl,-15,Exploits,11132,0.3779195113187208,0.6377111031261229,0.41699604743083,0.647502694933525,-0.039076536112109206,-0.009791591807402078
42,sttl,-15,Fuzzers,6062,0.5917189046519301,0.43615968327284727,0.592708677004289,0.49934015176509405,-0.0009897723523588642,-0.06318046849224679
42,sttl,-15,Generic,18871,0.9760479041916168,0.5322982353876318,0.9771607228021832,0.6614381855757512,-0.0011128186105664462,-0.1291399501881194
42,sttl,-15,Reconnaissance,3496,0.3489702517162471,0.4782608695652174,0.3504004576659039,0.5334668192219679,-0.0014302059496567598,-0.05520594965675052
42,sttl,-15,Shellcode,378,0.3941798941798942,0.48148148148148145,0.3941798941798942,0.5105820105820106,0.0,-0.029100529100529127
42,sttl,-15,Worms,44,0.38636363636363635,0.45454545454545453,0.38636363636363635,0.4772727272727273,0.0,-0.022727272727272763
42,sttl,-10,Analysis,677,0.7769571639586411,0.9896602658788775,0.7769571639586411,0.9926144756277696,0.0,-0.002954209748892156
42,sttl,-10,Backdoor,583,0.902229845626072,0.9622641509433962,0.902229845626072,0.9656946826758147,0.0,-0.0034305317324184736
42,sttl,-10,DoS,4089,0.25874296894106136,0.8219613597456591,0.27879677182685253,0.8256297383223282,-0.020053802885791172,-0.003668378576669129
42,sttl,-10,Exploits,11132,0.3779195113187208,0.6411246855910887,0.41699604743083,0.647502694933525,-0.039076536112109206,-0.006378009342436264
42,sttl,-10,Fuzzers,6062,0.5917189046519301,0.4519960409105906,0.592708677004289,0.49934015176509405,-0.0009897723523588642,-0.04734411085450346
42,sttl,-10,Generic,18871,0.9760479041916168,0.5698691113348524,0.9771607228021832,0.6614381855757512,-0.0011128186105664462,-0.09156907424089877
42,sttl,-10,Reconnaissance,3496,0.3489702517162471,0.505720823798627,0.3504004576659039,0.5334668192219679,-0.0014302059496567598,-0.027745995423340886
42,sttl,-10,Shellcode,378,0.3941798941798942,0.49206349206349204,0.3941798941798942,0.5105820105820106,0.0,-0.018518518518518545
42,sttl,-10,Worms,44,0.38636363636363635,0.45454545454545453,0.38636363636363635,0.4772727272727273,0.0,-0.022727272727272763
42,sttl,-5,Analysis,677,0.7769571639586411,0.9926144756277696,0.7769571639586411,0.9926144756277696,0.0,0.0
42,sttl,-5,Backdoor,583,0.902229845626072,0.9656946826758147,0.902229845626072,0.9656946826758147,0.0,0.0
42,sttl,-5,DoS,4089,0.25874296894106136,0.8244069454634385,0.27879677182685253,0.8256297383223282,-0.020053802885791172,-0.0012227928588897097
42,sttl,-5,Exploits,11132,0.3779195113187208,0.6447179302910528,0.41699604743083,0.647502694933525,-0.039076536112109206,-0.002784764642472126
42,sttl,-5,Fuzzers,6062,0.5917189046519301,0.4722863741339492,0.592708677004289,0.49934015176509405,-0.0009897723523588642,-0.02705377763114486
42,sttl,-5,Generic,18871,0.9760479041916168,0.6108314344761804,0.9771607228021832,0.6614381855757512,-0.0011128186105664462,-0.0506067510995708
42,sttl,-5,Reconnaissance,3496,0.3489702517162471,0.5208810068649885,0.3504004576659039,0.5334668192219679,-0.0014302059496567598,-0.01258581235697942
42,sttl,-5,Shellcode,378,0.3941798941798942,0.5026455026455027,0.3941798941798942,0.5105820105820106,0.0,-0.007936507936507908
42,sttl,-5,Worms,44,0.38636363636363635,0.45454545454545453,0.38636363636363635,0.4772727272727273,0.0,-0.022727272727272763
42,sttl,-2,Analysis,677,0.7769571639586411,0.9926144756277696,0.7769571639586411,0.9926144756277696,0.0,0.0
42,sttl,-2,Backdoor,583,0.902229845626072,0.9656946826758147,0.902229845626072,0.9656946826758147,0.0,0.0
42,sttl,-2,DoS,4089,0.25874296894106136,0.8248960626069943,0.27879677182685253,0.8256297383223282,-0.020053802885791172,-0.0007336757153338924
42,sttl,-2,Exploits,11132,0.3779195113187208,0.6466043837585339,0.41699604743083,0.647502694933525,-0.039076536112109206,-0.0008983111749910622
42,sttl,-2,Fuzzers,6062,0.5917189046519301,0.48729792147806006,0.592708677004289,0.49934015176509405,-0.0009897723523588642,-0.012042230287033995
42,sttl,-2,Generic,18871,0.9760479041916168,0.6424142864713052,0.9771607228021832,0.6614381855757512,-0.0011128186105664462,-0.019023899104446018
42,sttl,-2,Reconnaissance,3496,0.3489702517162471,0.5300343249427918,0.3504004576659039,0.5334668192219679,-0.0014302059496567598,-0.003432494279176135
42,sttl,-2,Shellcode,378,0.3941798941798942,0.5079365079365079,0.3941798941798942,0.5105820105820106,0.0,-0.002645502645502673
42,sttl,-2,Worms,44,0.38636363636363635,0.4772727272727273,0.38636363636363635,0.4772727272727273,0.0,0.0
42,sttl,0,Analysis,677,0.7769571639586411,0.9926144756277696,0.7769571639586411,0.9926144756277696,0.0,0.0
42,sttl,0,Backdoor,583,0.902229845626072,0.9656946826758147,0.902229845626072,0.9656946826758147,0.0,0.0
42,sttl,0,DoS,4089,0.27879677182685253,0.8256297383223282,0.27879677182685253,0.8256297383223282,0.0,0.0
42,sttl,0,Exploits,11132,0.41699604743083,0.647502694933525,0.41699604743083,0.647502694933525,0.0,0.0
42,sttl,0,Fuzzers,6062,0.592708677004289,0.49934015176509405,0.592708677004289,0.49934015176509405,0.0,0.0
42,sttl,0,Generic,18871,0.9771607228021832,0.6614381855757512,0.9771607228021832,0.6614381855757512,0.0,0.0
42,sttl,0,Reconnaissance,3496,0.3504004576659039,0.5334668192219679,0.3504004576659039,0.5334668192219679,0.0,0.0
42,sttl,0,Shellcode,378,0.3941798941798942,0.5105820105820106,0.3941798941798942,0.5105820105820106,0.0,0.0
42,sttl,0,Worms,44,0.38636363636363635,0.4772727272727273,0.38636363636363635,0.4772727272727273,0.0,0.0
42,sttl,2,Analysis,677,0.7769571639586411,0.9926144756277696,0.7769571639586411,0.9926144756277696,0.0,0.0
42,sttl,2,Backdoor,583,0.902229845626072,0.9656946826758147,0.902229845626072,0.9656946826758147,0.0,0.0
42,sttl,2,DoS,4089,0.27879677182685253,0.8256297383223282,0.27879677182685253,0.8256297383223282,0.0,0.0
42,sttl,2,Exploits,11132,0.41699604743083,0.6479518505210204,0.41699604743083,0.647502694933525,0.0,0.00044915558749547557
42,sttl,2,Fuzzers,6062,0.593038601121742,0.5021445067634444,0.592708677004289,0.49934015176509405,0.00032992411745302874,0.0028043549983503002
42,sttl,2,Generic,18871,0.9771607228021832,0.6656774945683853,0.9771607228021832,0.6614381855757512,0.0,0.004239308992634139
42,sttl,2,Reconnaissance,3496,0.3504004576659039,0.5334668192219679,0.3504004576659039,0.5334668192219679,0.0,0.0
42,sttl,2,Shellcode,378,0.3941798941798942,0.5132275132275133,0.3941798941798942,0.5105820105820106,0.0,0.002645502645502673
42,sttl,2,Worms,44,0.38636363636363635,0.4772727272727273,0.38636363636363635,0.4772727272727273,0.0,0.0
42,sttl,5,Analysis,677,0.7769571639586411,0.9926144756277696,0.7769571639586411,0.9926144756277696,0.0,0.0
42,sttl,5,Backdoor,583,0.902229845626072,0.9656946826758147,0.902229845626072,0.9656946826758147,0.0,0.0
42,sttl,5,DoS,4089,0.27879677182685253,0.826118855465884,0.27879677182685253,0.8256297383223282,0.0,0.0004891171435558173
42,sttl,5,Exploits,11132,0.41699604743083,0.648401006108516,0.41699604743083,0.647502694933525,0.0,0.0008983111749910622
