Feature,Scale,Perturbation_%,RF TPR,RF TPR Degradation,RF Evasion Rate,RF AUROC,RF AUPRC,MLP TPR,MLP TPR Degradation,MLP Evasion Rate,MLP AUROC,MLP AUPRC
djit,0.9,-9.999999999999998,0.682983323038913,-3.63230389129147e-05,0.3170166769610871,0.7995447210092825,0.8151978109698925,0.4216815200447072,0.0018384799552927933,0.5783184799552927,0.6606634475735773,0.7469625155903669
djit,0.95,-5.000000000000004,0.6830053825112503,-5.838251125038033e-05,0.31699461748874963,0.799566739045584,0.8151303533298072,0.4216815200447072,0.0018384799552928117,0.5783184799552928,0.6606315128107901,0.746935056853265
djit,1.0,0.0,0.6829465572516839,4.42748316120678e-07,0.31705344274831615,0.7995078016006829,0.8150719990331686,0.42165946057236975,0.0018605394276302405,0.5783405394276303,0.6605975577183112,0.7469007231262434
djit,1.05,5.000000000000004,0.6829024383070091,4.4561692990940927e-05,0.31709756169299097,0.7994600579468555,0.8151322607779679,0.42168887320215304,0.0018311267978470085,0.578311126797847,0.66056250611107,0.746863278359912
djit,1.1,10.000000000000009,0.682828906732551,0.00011809326744901168,0.317171093267449,0.7993571430558769,0.8150798345963176,0.4216815200447072,0.0018384799552928117,0.5783184799552928,0.660526615349577,0.7468203865410837
sjit,0.9,-9.999999999999998,0.6832039177622872,-0.00025691776228716395,0.3167960822377129,0.8000915309114816,0.8156484337957487,0.42118150533839227,0.0023384946616077005,0.5788184946616077,0.6605959860305908,0.7469239486202651
sjit,0.95,-5.000000000000004,0.6829686167240213,-2.1616724021344957e-05,0.3170313832759787,0.7998475387392157,0.8153602220117543,0.42143151269154977,0.002088487308450256,0.5785684873084503,0.6605991322876746,0.7469142642753056
sjit,1.0,0.0,0.6829465572516839,4.42748316120678e-07,0.31705344274831615,0.7995078016006829,0.8150719990331686,0.42165946057236975,0.0018605394276302405,0.5783405394276303,0.6605975577183112,0.7469007231262434
sjit,1.05,5.000000000000004,0.6827994941027677,0.00014750589723226218,0.3172005058972323,0.7990392382367366,0.8147024606777681,0.42184328950851496,0.001676710491485045,0.578156710491485,0.6605933505198484,0.7468838947402668
sjit,1.1,10.000000000000009,0.6827553751580929,0.00019162484190704543,0.3172446248419071,0.7986168101724772,0.8144238947916403,0.4219903526574311,0.0015296473425689034,0.5780096473425689,0.6605840763003363,0.7468629780873229
