Seed,TPR,AUROC,AUPRC
42,0.4352113297449925,0.6677682995247077,0.7511333292610429
123,0.40110738551133857,0.6631622778253414,0.7444933737995101
2026,0.42865966646077824,0.6508620958048845,0.7450754663181771
